ORDER,CLUSTER,DOMAIN,TOKEN,R,ROC_AUC,TITLE
3,3,Cognition,reaction_time,0.1054710995613593,0.6123937524151961,Cognition
3,3,Cognition,retrieval,0.1045651935921492,0.6123937524151961,Cognition
3,3,Cognition,decision_making,0.10282005228648568,0.6123937524151961,Cognition
3,3,Cognition,strategy,0.10026021561634688,0.6123937524151961,Cognition
3,3,Cognition,error_detection,0.09959116342838098,0.6123937524151961,Cognition
3,3,Cognition,context,0.09791290623674112,0.6123937524151961,Cognition
3,3,Cognition,valence,0.09756558898699982,0.6123937524151961,Cognition
3,3,Cognition,cognitive,0.09651584914035688,0.6123937524151961,Cognition
3,3,Cognition,manipulation,0.09520927800756199,0.6123937524151961,Cognition
3,3,Cognition,working_memory,0.0944195856068869,0.6123937524151961,Cognition
3,3,Cognition,response_selection,0.09139308513864083,0.6123937524151961,Cognition
3,3,Cognition,goal,0.09071774194659188,0.6123937524151961,Cognition
3,3,Cognition,word,0.08998399604784962,0.6123937524151961,Cognition
3,3,Cognition,judgment,0.0898960144102703,0.6123937524151961,Cognition
3,3,Cognition,anticipation,0.08922265022192202,0.6123937524151961,Cognition
3,3,Cognition,memory,0.08876130514454347,0.6123937524151961,Cognition
3,3,Cognition,remembering,0.08845951507007721,0.6123937524151961,Cognition
3,3,Cognition,decision,0.08776769942079482,0.6123937524151961,Cognition
3,3,Cognition,autobiographical_memory,0.08426924367587063,0.6123937524151961,Cognition
3,3,Cognition,salience,0.08385892276675003,0.6123937524151961,Cognition
3,3,Cognition,emotion,0.08328747598344641,0.6123937524151961,Cognition
4,4,Vision,recognition,0.14784553175873508,0.6378570996195807,Vision
4,4,Vision,face_perception,0.14776418230308105,0.6378570996195807,Vision
4,4,Vision,familiarity,0.13963674528340472,0.6378570996195807,Vision
4,4,Vision,vision,0.13616896494396194,0.6378570996195807,Vision
4,4,Vision,object_recognition,0.1348711656214491,0.6378570996195807,Vision
4,4,Vision,retrieval,0.13375043754949656,0.6378570996195807,Vision
4,4,Vision,visual_perception,0.12232781607421694,0.6378570996195807,Vision
4,4,Vision,memory,0.11951591871385635,0.6378570996195807,Vision
4,4,Vision,remembering,0.116622697027687,0.6378570996195807,Vision
4,4,Vision,word,0.11592843463089687,0.6378570996195807,Vision
4,4,Vision,visual_attention,0.11532509243287975,0.6378570996195807,Vision
4,4,Vision,picture,0.11455921944896068,0.6378570996195807,Vision
4,4,Vision,visual_object,0.1137174439736639,0.6378570996195807,Vision
4,4,Vision,visual_angle,0.11064102635374527,0.6378570996195807,Vision
4,4,Vision,recognition_memory,0.10908896936492116,0.6378570996195807,Vision
4,4,Vision,reading,0.10885952454179347,0.6378570996195807,Vision
4,4,Vision,semantic_processing,0.10710928793538796,0.6378570996195807,Vision
4,4,Vision,encoding,0.10708358534458044,0.6378570996195807,Vision
4,4,Vision,visual_imagery,0.10667376050060952,0.6378570996195807,Vision
4,4,Vision,naming,0.10615801280096096,0.6378570996195807,Vision
5,5,Manipulation,execution,0.18448562376720568,0.6222444165533643,Manipulation
5,5,Manipulation,hand,0.1466462052778848,0.6222444165533643,Manipulation
5,5,Manipulation,movement,0.14060437624656674,0.6222444165533643,Manipulation
5,5,Manipulation,working_memory,0.13295662453158152,0.6222444165533643,Manipulation
5,5,Manipulation,manipulation,0.1318277155088201,0.6222444165533643,Manipulation
5,5,Manipulation,rehearsal,0.12409412492133633,0.6222444165533643,Manipulation
5,5,Manipulation,attention,0.1219592664161589,0.6222444165533643,Manipulation
5,5,Manipulation,spatial_attention,0.12075395417822993,0.6222444165533643,Manipulation
5,5,Manipulation,action,0.12021722131253736,0.6222444165533643,Manipulation
5,5,Manipulation,covert,0.1182665017502699,0.6222444165533643,Manipulation
5,5,Manipulation,motor_control,0.11815101350606465,0.6222444165533643,Manipulation
5,5,Manipulation,strategy,0.11483224192560818,0.6222444165533643,Manipulation
5,5,Manipulation,reaction_time,0.11454331398938332,0.6222444165533643,Manipulation
5,5,Manipulation,grasping,0.11410370265830158,0.6222444165533643,Manipulation
6,6,Language,speech,0.2505017864115216,0.6589038635399534,Language
6,6,Language,hearing,0.2424270352568145,0.6589038635399534,Language
6,6,Language,listening,0.2356167544562679,0.6589038635399534,Language
6,6,Language,speech_perception,0.2258008213031976,0.6589038635399534,Language
6,6,Language,speech_processing,0.22223516460559584,0.6589038635399534,Language
6,6,Language,tone,0.17775330311076726,0.6589038635399534,Language
6,6,Language,language,0.17128949024624684,0.6589038635399534,Language
6,6,Language,music,0.1672589669397423,0.6589038635399534,Language
6,6,Language,passive_listening,0.163461270342239,0.6589038635399534,Language
6,6,Language,syllable,0.16192160715756015,0.6589038635399534,Language
6,6,Language,melody,0.15619071617391705,0.6589038635399534,Language
6,6,Language,speech_production,0.15569401616325712,0.6589038635399534,Language
6,6,Language,auditory_perception,0.15552326960252924,0.6589038635399534,Language
6,6,Language,language_processing,0.15544393135249687,0.6589038635399534,Language
6,6,Language,prosody,0.14113170928709673,0.6589038635399534,Language
6,6,Language,intonation,0.1351937967255936,0.6589038635399534,Language
6,6,Language,audition,0.13152511128096572,0.6589038635399534,Language
6,6,Language,pitch_discrimination,0.12699374281182085,0.6589038635399534,Language
6,6,Language,language_comprehension,0.12230031818016512,0.6589038635399534,Language
6,6,Language,articulation,0.115856477658238,0.6589038635399534,Language
6,6,Language,phonetics,0.11356390565961212,0.6589038635399534,Language
6,6,Language,word,0.11160037343971307,0.6589038635399534,Language
6,6,Language,semantic_processing,0.11034056783703136,0.6589038635399534,Language
6,6,Language,syntax,0.10708332902798047,0.6589038635399534,Language
6,6,Language,voice_perception,0.10697738776942388,0.6589038635399534,Language
